model,auc,precision,recall,f1,accuracy,ece
gemma4_12b_paper_cal,0.9757785316071594,0.9492988133764833,0.887991927346115,0.9176225234619395,0.9426184855638279,0.007835869474611519
gemma4_31b_paper,0.9771894568850148,0.9228034535297105,0.9167507568113017,0.9197671475575804,0.9424368984928273,0.020487310206745678
gemma4_31b_paper_cal,0.976947563532788,0.9540481400437637,0.8799192734611504,0.9154855643044619,0.9415289631378246,0.011126483706938908
med_llama_paper,0.978447302316594,0.9448239621650026,0.9071644803229062,0.9256113256113256,0.9475213364808426,0.024383406217536253
med_llama_paper_cal,0.9781778560233592,0.9548144163528779,0.8955600403632694,0.924238479562614,0.9471581623388414,0.007225342100944528
med_llama_r128,0.975180740136405,0.9120488052872394,0.905146316851665,0.9085844517599392,0.9344470673688033,0.019284825572177335
med_llama_r128_cal,0.9749221718874121,0.9525909592061742,0.8718466195761857,0.9104320337197049,0.9382603958598148,0.008102130011931642
med_llama_r64,0.9743195854892617,0.9539473684210527,0.8779011099899092,0.9143457698370994,0.9408026148538224,0.024998185277152318
med_llama_r64_cal,0.9740412650020396,0.9413333333333334,0.8905146316851665,0.9152190821882292,0.9406210277828219,0.011230023569906331
medgemma_paper,0.9795129928219221,0.9219712525667351,0.9061553985872856,0.9139949109414758,0.9386235700018158,0.020313957131356773
medgemma_paper_cal,0.9794410689109788,0.9473112438891906,0.8799192734611504,0.9123724823437092,0.9391683312148175,0.008579865704125757
medgemma_r128,0.9772813477324288,0.9287179487179488,0.91372351160444,0.9211597151576806,0.9437080079898311,0.02405906661395177
medgemma_r128_cal,0.9773222119644173,0.9435951502372166,0.9031281533804238,0.922918277906677,0.9457054657708371,0.010722341075752694
medgemma_r64,0.9778087181799314,0.9400104329681794,0.9091826437941474,0.9243395742498076,0.9464318140548393,0.008921965823377022
medgemma_r64_cal,0.9779469838475356,0.9517684887459807,0.8960645812310797,0.9230769230769231,0.9462502269838388,0.008497211635360841
mediphi_4b_paper,0.9767717972389804,0.9270453361125586,0.8975782038345106,0.9120738272237888,0.9377156346468132,0.014510017048213598
mediphi_4b_paper_cal,0.9767748745804439,0.9377348362855609,0.8814328960645812,0.9087126137841353,0.9362629380788088,0.011522127057283772
modernbert,0.9764284231845474,0.9482576557550159,0.9061553985872856,0.9267285861713106,0.9484292718358452,0.01748015269326051
modernbert_cal,0.9759576615067522,0.9402286902286903,0.9127144298688193,0.9262672811059908,0.9477029235518432,0.009820262726768695
phi4_14b_paper,0.9788928727340389,0.9467802022352315,0.8975782038345106,0.9215229215229215,0.9449791174868349,0.016402798518858775
phi4_14b_paper_cal,0.9787242630482855,0.9516648764769066,0.8940464177598385,0.9219562955254943,0.9455238786998366,0.008367906603541734
pubmedbert,0.9773879811924341,0.9445031712473573,0.9016145307769929,0.9225606608156943,0.9455238786998366,0.021551029298444775
pubmedbert_cal,0.9770565586734511,0.9520990312163616,0.8925327951564077,0.9213541666666667,0.9451607045578355,0.01078595759249028
qwen4b_paper,0.9786115464714343,0.9598885793871866,0.8693239152371343,0.9123643102991792,0.9398946794988197,0.028986605392967733
qwen4b_paper_cal,0.9782275944493347,0.9448017148981779,0.8895055499495459,0.9163201663201663,0.9415289631378246,0.00823692894531239
qwen4b_r128,0.9787802277232682,0.921875,0.9228052472250252,0.9223398890569844,0.9440711821318322,0.020229428575498625
qwen4b_r128_cal,0.9784903850970794,0.9447077409162717,0.905146316851665,0.9245039938160268,0.9467949881968404,0.009150790982231195
qwen4b_r64,0.976478948837409,0.9576837416481069,0.8678102926337034,0.9105346744309158,0.9386235700018158,0.01663632141756872
qwen4b_r64_cal,0.9757084684143104,0.9537444933920705,0.8738647830474269,0.9120589784096893,0.939349918285818,0.011701942083952857
qwen9b_paper,0.9779872039847994,0.9542234332425068,0.8834510595358224,0.9174744563793555,0.9428000726348283,0.02246097743124993
qwen9b_paper_cal,0.9774232632701405,0.9580342352291552,0.8753784056508577,0.9148431320854206,0.9413473760668241,0.006138606074671617
qwen9b_r128,0.9789442571798671,0.9348500517063082,0.9122098890010091,0.923391215526047,0.9455238786998366,0.019553258327746424
qwen9b_r128_cal,0.9790110283330112,0.9502939604489578,0.8970736629667003,0.9229172073708798,0.9460686399128382,0.008824581763639943
qwen9b_r64,0.9743734747479085,0.9579596412556054,0.8622603430877901,0.9075942644715879,0.9368076992918104,0.03642197438201357
qwen9b_r64_cal,0.9738259226656933,0.9424111948331539,0.8834510595358224,0.9119791666666667,0.9386235700018158,0.010420006590244637
xgb,0.9770514059156521,0.9618279569892473,0.9026236125126135,0.9312857886517438,0.9520610132558562,0.014883412605328189
xgb_cal,0.9769511418368149,0.9628032345013477,0.9011099899091827,0.9309356267917644,0.9518794261848557,0.009256957119893286
