model,auc,precision,recall,f1,accuracy,ece
albert,0.8548367106236381,0.7244239631336405,0.7631067961165049,0.7432624113475177,0.781664656212304,0.05798044325472989
albert_cal,0.8546668650912642,0.7465437788018433,0.7339805825242719,0.7402088772845953,0.786623776973596,0.012053746890888188
biobert,0.8818650653505489,0.7782925215089345,0.7611650485436893,0.7696335078534031,0.8112853504892106,0.03729081080409818
biobert_cal,0.8811349294667191,0.7920415224913495,0.7407766990291262,0.7655518394648829,0.8120895322342849,0.016062271232956168
biomistral_paper,0.877745200605047,0.7574039067422811,0.7779935275080906,0.7675606641123882,0.8048518965286154,0.03548819628868574
biomistral_paper_cal,0.8772257797975626,0.7663734115347018,0.7611650485436893,0.7637603507062835,0.8049859268194612,0.016138181134254807
biomistral_r128,0.8425782537006559,0.7287592176979801,0.7355987055016181,0.7321629892092124,0.7771076263235491,0.009961154029521547
biomistral_r128_cal,0.8417468694447592,0.7114974077462641,0.7550161812297734,0.7326110849426911,0.7717464146897198,0.019092427092880858
biomistral_r64,0.7850303448960085,0.6778702163061564,0.6592233009708738,0.668416735028712,0.7291247822007774,0.1696823874837734
biomistral_r64_cal,0.784635568793734,0.6680839002267573,0.7627831715210356,0.7122997884557268,0.7448063262297279,0.013470908717427857
gemma3_12b_paper,0.8761826439189154,0.759028443592202,0.7686084142394822,0.7637883904164656,0.8031095027476209,0.02064723441432117
gemma3_12b_paper_cal,0.87543762619027,0.7778544325629527,0.7297734627831716,0.7530472532977125,0.8017691998391636,0.015994775353072827
gemma3_paper,0.8810135424787824,0.783124364622162,0.7478964401294499,0.7651051150471776,0.8098110172899076,0.030190262019642023
gemma3_paper_cal,0.8806221721718387,0.7981981981981981,0.7168284789644013,0.7553282182438192,0.8076665326363758,0.013543942250745901
gemma3_r128,0.8861427072667085,0.7747252747252747,0.7757281553398059,0.7752263906856404,0.8136978957244337,0.019135614449744324
gemma3_r128_cal,0.8858381107016753,0.7850746268656716,0.7660194174757281,0.7754299754299754,0.8162444712505026,0.014228950379683473
gemma3_r64,0.8750910124763169,0.761437908496732,0.7540453074433657,0.7577235772357723,0.8002948666398606,0.017699697089186672
gemma3_r64_cal,0.8749705879957561,0.7507100031555696,0.7699029126213592,0.7601853331203068,0.7988205334405576,0.020147060890828836
gemma4_12b_paper,0.8894785727348314,0.7833865814696486,0.7935275080906149,0.7884244372990353,0.8236161372470179,0.04676902466970831
gemma4_12b_paper_cal,0.8888091858742416,0.7830248883216337,0.7941747572815534,0.788560411311054,0.8236161372470179,0.014767576872472316
med_llama_paper,0.8667460365056836,0.7238432066018273,0.7948220064724919,0.7576739163967299,0.7894384130813564,0.05802780964206609
med_llama_paper_cal,0.8662070323750463,0.7666328942924687,0.7346278317152104,0.7502892083953066,0.7974802305321003,0.010575735071598431
med_llama_r128,0.883166301284059,0.747085201793722,0.8087378640776699,0.7766899766899766,0.8073984720546844,0.041306045196716004
med_llama_r128_cal,0.8821819894138997,0.7712082262210797,0.7766990291262136,0.7739438890680426,0.8120895322342849,0.015414171847900513
med_llama_r64,0.8421362036784071,0.7357983193277311,0.7084142394822006,0.7218466611706513,0.7738908993432516,0.02436939913693609
med_llama_r64_cal,0.8412553983706971,0.7312644437107957,0.7168284789644013,0.7239745056381762,0.7736228387615601,0.013740061414425304
medgemma_paper,0.874356767426381,0.7724671827667452,0.7427184466019418,0.7573007754495957,0.8028414421659295,0.02480171716000197
medgemma_paper_cal,0.8734217655494918,0.7521448999046711,0.7660194174757281,0.759018759018759,0.7985524728588661,0.01624422828582281
medgemma_r128,0.8891810839165758,0.786813922356091,0.7608414239482201,0.7736097400460678,0.8155743197962739,0.015437509797993503
medgemma_r128_cal,0.8886840228958294,0.7815979043876883,0.7724919093851133,0.7770182291666666,0.8163785015413484,0.01728330051298882
medgemma_r64,0.8779516214177141,0.750536974532065,0.7915857605177994,0.7705150417388565,0.8047178662377698,0.03888448106264483
medgemma_r64_cal,0.8779847538831619,0.7737467018469657,0.7592233009708738,0.7664162038549494,0.8083366840906044,0.018453559017673062
mediphi_4b_paper,0.8769161855980762,0.7549295774647887,0.7805825242718447,0.7675417661097852,0.8041817450743868,0.02553193628098404
mediphi_4b_paper_cal,0.876162616361589,0.7842657342657343,0.7258899676375404,0.7539495798319328,0.8037796542018496,0.013321013490098852
modernbert,0.8881209931003029,0.7480082620241959,0.8203883495145631,0.7825281679271493,0.8111513201983648,0.04532978873053055
modernbert_cal,0.887460009669497,0.7817040951122853,0.7660194174757281,0.7737822817914352,0.8145020774695081,0.013867458052174325
phi4_14b_paper,0.8842038472160214,0.7826961770623743,0.7553398058252427,0.7687747035573123,0.8118214716525934,0.017896378641307904
phi4_14b_paper_cal,0.8839399721169017,0.7832827772160431,0.7521035598705501,0.767376589070497,0.8111513201983648,0.015206199999162
pubmedbert,0.8444103124521061,0.7511423550087873,0.6915857605177993,0.7201347935973041,0.7773756869052406,0.04221907759782134
pubmedbert_cal,0.8432694080357519,0.7560541310541311,0.6870550161812298,0.7199050525601899,0.7785819595228521,0.01332940441819889
qwen4b_paper,0.8696684680362405,0.7756497948016415,0.7339805825242719,0.7542401064183571,0.8019032301300094,0.03618418010290269
qwen4b_paper_cal,0.8696779080124297,0.7593480345158198,0.7689320388349514,0.76410998552822,0.8033775633293124,0.009958883884190906
qwen4b_r128,0.8952327750050162,0.7988027934818757,0.7773462783171521,0.7879284894210268,0.8266988339364696,0.040406373566380265
qwen4b_r128_cal,0.8945918561510514,0.8038552587081501,0.7692556634304207,0.7861749627914668,0.8266988339364696,0.014490503126365854
qwen4b_r64,0.876144884014159,0.7962223029422448,0.7093851132686084,0.7502995036796166,0.8044498056560783,0.04211400220925262
qwen4b_r64_cal,0.8760969437429246,0.7755852842809364,0.7504854368932039,0.7628289473684211,0.8067283206004557,0.016558686099577866
qwen9b_paper,0.8740108200636884,0.7266973532796318,0.8174757281553398,0.7694182150472129,0.7970781396595631,0.06728498313288704
qwen9b_paper_cal,0.8734932872514418,0.7715886618325642,0.7576051779935276,0.7645329849771392,0.8067283206004557,0.01228374688667174
qwen9b_r128,0.8832845786327804,0.7808912896691425,0.7485436893203884,0.764375413086583,0.8088728052539874,0.014591399566300981
qwen9b_r128_cal,0.882434092307419,0.7675324675324675,0.7650485436893204,0.766288492706645,0.8067283206004557,0.01288992703509483
qwen9b_r64,0.8815047173967285,0.7964285714285714,0.7216828478964401,0.7572156196943973,0.8083366840906044,0.04596384643067538
qwen9b_r64_cal,0.8810492292907284,0.7683471601786854,0.7792880258899676,0.7737789203084833,0.8112853504892106,0.016597158030490586
xgb,0.8948299656681022,0.8032786885245902,0.7770226537216829,0.7899325546964961,0.8288433185900014,0.02362383850522762
xgb_cal,0.8945577611782275,0.8137931034482758,0.7637540453074434,0.7879799666110183,0.8297815306259214,0.015205231169741299
