model,auc,precision,recall,f1,accuracy,ece
albert,0.9738686981475957,0.9193806727175654,0.8964081207704321,0.9077490774907749,0.9348109517601043,0.025678999591992758
albert_cal,0.9737948713148483,0.9375,0.8823529411764706,0.9090909090909091,0.9368597504190724,0.006383056498482086
biobert,0.9792956497425572,0.9200420831141505,0.9104633003643935,0.9152276295133438,0.9396535667722108,0.016205689179264217
biobert_cal,0.9787125838364832,0.9457534246575342,0.8984903695991671,0.9215162840363054,0.9452411994784876,0.009482087757545426
biomistral_paper,0.9779744664841276,0.9479800774764804,0.8917230609057782,0.9189914163090128,0.9437511640901471,0.018126149252152106
biomistral_paper_cal,0.9778147348091856,0.9489456159822419,0.8901613742842269,0.9186140209508461,0.9435649096666046,0.00835156899954152
biomistral_r128,0.9715048052360588,0.9069524307370622,0.9031754294638209,0.9050599895670318,0.9322033898305084,0.032619310842199
biomistral_r128_cal,0.9707538549986654,0.9464082098061574,0.8641332639250391,0.9034013605442177,0.9338796796423915,0.00783546166119199
biomistral_r64,0.9638838832249734,0.9445093457943925,0.8417490890161374,0.8901734104046243,0.9256844850065189,0.017123559534263685
biomistral_r64_cal,0.9636317547777585,0.9384703852788959,0.8495575221238938,0.8918032786885246,0.9262432482771465,0.011167354077265795
gemma3_12b_paper,0.9792111036764253,0.9622312608948286,0.862051015096304,0.9093904448105437,0.9385360402309555,0.030219881401955254
gemma3_12b_paper_cal,0.9790541650411678,0.9426048565121413,0.8891202498698595,0.9150817037235467,0.9409573477370088,0.006247944181147093
gemma3_paper,0.9804946941304499,0.9277748274030801,0.9094221759500261,0.9185068349106204,0.9422611287018067,0.020676789975342086
gemma3_paper_cal,0.9799871157834219,0.9455445544554455,0.8948464341488808,0.9194971917625033,0.9439374185136897,0.00365597667704145
gemma3_r128,0.9826244246338249,0.9071176173649672,0.9354502863092139,0.9210661199384931,0.9426336375488917,0.03335910312752686
gemma3_r128_cal,0.9825240261802933,0.955264593562466,0.911504424778761,0.9328716036228023,0.9530638852672751,0.006452906035650371
gemma3_r64,0.9816411236896869,0.9524590163934427,0.907339927121291,0.9293521727539323,0.9506425777612219,0.024721929732502503
gemma3_r64_cal,0.9813046756390172,0.9630252100840336,0.8948464341488808,0.9276848354020507,0.9500838144905942,0.009458740265942974
gemma4_12b_paper,0.9800560359248313,0.9541595925297114,0.8776678813118167,0.9143167028199566,0.9411436021605513,0.022205992117350914
gemma4_12b_paper_cal,0.9796757296023557,0.9346299297676931,0.9005726184279021,0.9172852598091198,0.9418886198547215,0.0069146507505276
gemma4_31b_paper,0.9777686873981672,0.9348534201954397,0.8964081207704321,0.9152272123305873,0.9405848388899236,0.012758834522790335
