model,auc,precision,recall,f1,accuracy,ece
albert,0.8518981956458166,0.764456981664316,0.696882031501125,0.7291071128299983,0.7813221121216235,0.03669480451773209
albert_cal,0.8513479863472567,0.7684323550465283,0.6901317904210865,0.7271803556308213,0.7813221121216235,0.019095210653494392
biobert,0.8711163606944072,0.7523048555623848,0.7868852459016393,0.7692065985860173,0.8005972580426225,0.029130698632621695
biobert_cal,0.8706922048370686,0.7703016241299304,0.7470266795242687,0.758485639686684,0.7991041129360662,0.017776697950346254
biomistral_paper,0.8553767494918588,0.7701189643107068,0.7074895531983285,0.7374769643156308,0.7872946925478486,0.02102913264987123
biomistral_paper_cal,0.8535126086672805,0.7599729546991211,0.7225972356155577,0.7408139726478827,0.7864802497624542,0.014748825665043954
biomistral_r128,0.8246865883972225,0.795778364116095,0.4847315975570556,0.6024770275669197,0.7298764761775485,0.08693506448623659
biomistral_r128_cal,0.8242437397737353,0.7399553571428571,0.639344262295082,0.685980341438179,0.752816614632822,0.01953921449789401
biomistral_r64,0.7953783325236912,0.7229182019159912,0.630665380906461,0.6736480686695279,0.7419573774942311,0.052504886166768634
biomistral_r64_cal,0.7948269525670493,0.7083609820836099,0.6862745098039216,0.6971428571428572,0.7482014388489209,0.015730591940231506
gemma3_12b_paper,0.869953557350464,0.7779286926994906,0.7364191578270652,0.7566050198150595,0.7999185557214605,0.044538927408355515
gemma3_12b_paper_cal,0.8700972839524075,0.7812821391840933,0.7325618772099004,0.7561380225613802,0.8004615175783901,0.02188683883569669
gemma3_paper,0.8754212480937154,0.7823569482288828,0.7383477981356477,0.7597155614354225,0.8027691054703407,0.0593698487816544
gemma3_paper_cal,0.8740892280121711,0.7785594639865997,0.7470266795242687,0.7624671916010499,0.8034478077915026,0.016245381875944112
gemma3_r128,0.88222171418179,0.8219445529090199,0.6766313082610094,0.7422425952045134,0.8015474412922492,0.06709725064081414
gemma3_r128_cal,0.8818123237215507,0.7850467289719626,0.7560270009643202,0.7702636318978222,0.8095561286819601,0.012728533917663739
gemma3_r64,0.875828750395758,0.7681716298430996,0.7711346833815493,0.7696503047802374,0.8050766933622913,0.041363247038824075
gemma3_r64_cal,0.8757497498568021,0.7810316139767055,0.7544198007071681,0.7674950948332243,0.8069770598615448,0.01807304871185109
gemma4_12b_paper,0.8619941397611677,0.762,0.7348119575699132,0.748159057437408,0.7910954255463554,0.017954648113530435
gemma4_12b_paper_cal,0.8611599892329667,0.775892541534111,0.7055609128897461,0.7390572390572391,0.7896022804397991,0.02215823248238823
med_llama_paper,0.865573710070741,0.7570785070785071,0.7563484410157506,0.756713297957871,0.7946246776163974,0.055684554781306114
