model,auc,precision,recall,f1,accuracy,ece
albert,0.9783336602562821,0.9545454545454546,0.8789237668161435,0.9151750972762646,0.9407608695652174,0.024494752578228283
albert_cal,0.9779680880652417,0.9440042260961437,0.8903836571998007,0.9164102564102564,0.9409420289855073,0.007198405198979378
biobert,0.9770442647999296,0.9328165374677002,0.8993522670652716,0.9157787924911213,0.9398550724637681,0.016829727538540173
biobert_cal,0.9766755723030879,0.9601769911504425,0.8649725959143,0.9100917431192661,0.9378623188405797,0.005590796437047463
biomistral_paper,0.9787340522234236,0.913128355295266,0.9322371699053313,0.9225838264299803,0.9431159420289855,0.03194241782582275
biomistral_paper_cal,0.9776949903915856,0.9591057797164667,0.8764324862979571,0.9159073158031763,0.9414855072463768,0.015076648953979555
biomistral_r128,0.9755746716835512,0.9348516949152542,0.8794220229197808,0.9062901155327343,0.9338768115942029,0.01985651148943734
biomistral_r128_cal,0.9750509567212167,0.9335443037974683,0.8819133034379671,0.9069946195234435,0.9342391304347826,0.007912762813231018
biomistral_r64,0.9634370366966399,0.9403973509933775,0.8490284005979073,0.8923802042419482,0.9255434782608696,0.028666920099203658
biomistral_r64_cal,0.9623576236375079,0.9415367483296214,0.8425510712506228,0.8892979226926111,0.923731884057971,0.007821573501691477
gemma3_12b_paper,0.981999239496377,0.9369959677419355,0.9262580966616841,0.9315960912052117,0.9505434782608696,0.030958301170007894
gemma3_12b_paper_cal,0.9809437960590821,0.9588824459673169,0.9063278525161933,0.9318647540983607,0.9518115942028985,0.003976090415595088
gemma3_paper,0.9772247461241191,0.943796394485684,0.8868958644743398,0.91446185461084,0.9396739130434782,0.017063858835055692
gemma3_paper_cal,0.9766565668041163,0.9366823652537938,0.8918784255107125,0.9137314956610516,0.938768115942029,0.006918344920479066
gemma3_r128,0.982691805552187,0.95042194092827,0.8978574987543597,0.9233922623622854,0.9458333333333333,0.025340335302114783
gemma3_r128_cal,0.9818532233680834,0.9523305084745762,0.8958644743398106,0.9232349165596919,0.9458333333333333,0.01029341321776817
gemma3_r64,0.9798722546804941,0.9372406639004149,0.9003487792725461,0.9184243964421855,0.9418478260869565,0.024604868199498513
gemma3_r64_cal,0.9793988901072265,0.9524064171122995,0.8873941205779771,0.918751612071189,0.9429347826086957,0.00956186599943399
gemma4_12b_paper,0.9810676863826026,0.9394402035623409,0.9197807673143996,0.9295065458207452,0.9492753623188406,0.030344539307571722
gemma4_12b_paper_cal,0.9809820907211892,0.9685124864277959,0.8888888888888888,0.9269940244219278,0.9490942028985507,0.00646689403081395
gemma4_31b_paper,0.9808903253642142,0.9527851458885942,0.8948679621325362,0.9229188078108942,0.9456521739130435,0.02870870484918762
gemma4_31b_paper_cal,0.9804539080482756,0.9608695652173913,0.8809167912306926,0.9191577852872368,0.943659420289855,0.0076794222147835945
med_llama_paper,0.9819552715509948,0.9224266534062655,0.924265072247135,0.9233449477351916,0.9442028985507246,0.026628268267445857
med_llama_paper_cal,0.9817083418964452,0.9412371134020618,0.9098156452416543,0.9252596909044845,0.9465579710144928,0.007160354587277869
med_llama_r128,0.979743400234108,0.9509752240379546,0.8988540109616343,0.9241803278688525,0.946376811594203,0.03134249275715305
med_llama_r128_cal,0.9793793881959683,0.9529598308668076,0.898355754857997,0.924852526288792,0.9469202898550725,0.0094985977685699
med_llama_r64,0.9809250033082333,0.930137684854666,0.9088191330343797,0.9193548387096774,0.9420289855072463,0.012718306492102989
med_llama_r64_cal,0.9806982138093105,0.9688542825361512,0.8679621325361235,0.9156373193166886,0.9418478260869565,0.0054109680273730755
medgemma_paper,0.9807596980168045,0.9612233752048062,0.8769307424015944,0.9171443460135488,0.9423913043478261,0.0285241167709652
medgemma_paper_cal,0.9804019975063083,0.9561451001624256,0.8799202790234181,0.9164504411001557,0.9416666666666667,0.007922759643493264
medgemma_r128,0.9815260167551911,0.9409044193216856,0.9123069257598405,0.9263850240323804,0.9472826086956522,0.031328934781032075
medgemma_r128_cal,0.9811993774706261,0.9487715629900679,0.9043348281016442,0.9260204081632653,0.947463768115942,0.006557610862240415
medgemma_r64,0.9830451801841861,0.9411764705882353,0.916791230692576,0.9288238263503281,0.9489130434782609,0.023404795575271455
medgemma_r64_cal,0.9825662132436842,0.9499739447628973,0.9083208769307424,0.9286805909322465,0.9492753623188406,0.010404424128815756
mediphi_4b_paper,0.9774426711179246,0.9337539432176656,0.8849028400597907,0.908672294704528,0.9353260869565218,0.02161998229512215
mediphi_4b_paper_cal,0.9771322006906938,0.926250644662197,0.8948679621325362,0.9102889001520527,0.9358695652173913,0.00795705515566018
modernbert,0.9822134768560536,0.9611859838274932,0.8883906327852517,0.9233557742102537,0.946376811594203,0.018136954388161416
modernbert_cal,0.9817459273981428,0.9461418953909891,0.9103139013452914,0.9278821736922296,0.9485507246376812,0.009608310706614618
phi4_14b_paper,0.978775396275291,0.9593275488069414,0.8814150473343298,0.9187224097636978,0.9432971014492754,0.03241209523805957
phi4_14b_paper_cal,0.9783167113224978,0.9627601314348302,0.8759342301943199,0.9172971562744586,0.942572463768116,0.004983073605829546
