cv_id,model,auc,precision,recall,f1,accuracy,ece
10,albert,0.8518981956458166,0.764456981664316,0.696882031501125,0.7291071128299983,0.7813221121216235,0.03669480451773209
10,albert_cal,0.8513479863472567,0.7684323550465283,0.6901317904210865,0.7271803556308213,0.7813221121216235,0.019095210653494392
10,biobert,0.8711163606944072,0.7523048555623848,0.7868852459016393,0.7692065985860173,0.8005972580426225,0.029130698632621695
10,biobert_cal,0.8706922048370686,0.7703016241299304,0.7470266795242687,0.758485639686684,0.7991041129360662,0.017776697950346254
10,biomistral_paper,0.8553767494918588,0.7701189643107068,0.7074895531983285,0.7374769643156308,0.7872946925478486,0.02102913264987123
10,biomistral_paper_cal,0.8535126086672805,0.7599729546991211,0.7225972356155577,0.7408139726478827,0.7864802497624542,0.014748825665043954
10,biomistral_r128,0.8246865883972225,0.795778364116095,0.4847315975570556,0.6024770275669197,0.7298764761775485,0.08693506448623659
10,biomistral_r128_cal,0.8242437397737353,0.7399553571428571,0.639344262295082,0.685980341438179,0.752816614632822,0.01953921449789401
10,biomistral_r64,0.7953783325236912,0.7229182019159912,0.630665380906461,0.6736480686695279,0.7419573774942311,0.052504886166768634
10,biomistral_r64_cal,0.7948269525670493,0.7083609820836099,0.6862745098039216,0.6971428571428572,0.7482014388489209,0.015730591940231506
10,gemma3_12b_paper,0.869953557350464,0.7779286926994906,0.7364191578270652,0.7566050198150595,0.7999185557214605,0.044538927408355515
10,gemma3_12b_paper_cal,0.8700972839524075,0.7812821391840933,0.7325618772099004,0.7561380225613802,0.8004615175783901,0.02188683883569669
10,gemma3_paper,0.8754212480937154,0.7823569482288828,0.7383477981356477,0.7597155614354225,0.8027691054703407,0.0593698487816544
10,gemma3_paper_cal,0.8740892280121711,0.7785594639865997,0.7470266795242687,0.7624671916010499,0.8034478077915026,0.016245381875944112
10,gemma3_r128,0.88222171418179,0.8219445529090199,0.6766313082610094,0.7422425952045134,0.8015474412922492,0.06709725064081414
10,gemma3_r128_cal,0.8818123237215507,0.7850467289719626,0.7560270009643202,0.7702636318978222,0.8095561286819601,0.012728533917663739
10,gemma3_r64,0.875828750395758,0.7681716298430996,0.7711346833815493,0.7696503047802374,0.8050766933622913,0.041363247038824075
10,gemma3_r64_cal,0.8757497498568021,0.7810316139767055,0.7544198007071681,0.7674950948332243,0.8069770598615448,0.01807304871185109
10,gemma4_12b_paper,0.8619941397611677,0.762,0.7348119575699132,0.748159057437408,0.7910954255463554,0.017954648113530435
10,gemma4_12b_paper_cal,0.8611599892329667,0.775892541534111,0.7055609128897461,0.7390572390572391,0.7896022804397991,0.02215823248238823
10,med_llama_paper,0.865573710070741,0.7570785070785071,0.7563484410157506,0.756713297957871,0.7946246776163974,0.055684554781306114
10,med_llama_paper_cal,0.8657133960141434,0.7787548364403799,0.7116682738669238,0.7437017131340276,0.7928600515813764,0.017683430249937227
10,med_llama_r128,0.8739700097036226,0.7772527843401957,0.7402764384442302,0.7583141257820217,0.8007329985068549,0.04105316849179708
10,med_llama_r128_cal,0.8731191300937976,0.7675033025099075,0.7470266795242687,0.7571265678449259,0.79761096782951,0.02152738817327616
10,med_llama_r64,0.8280538164359791,0.7104283054003724,0.7357762777242044,0.7228801515869256,0.7617754852721597,0.016373353936329414
10,med_llama_r64_cal,0.8276222589985088,0.7189605389797883,0.7203471552555448,0.7196531791907514,0.7629971494502511,0.018416468006964254
10,medgemma_paper,0.8653271921365612,0.7819521178637201,0.6824172291867566,0.7288019224167525,0.7855300665128274,0.04540457943255529
10,medgemma_paper_cal,0.8652094843545699,0.7759914255091104,0.6981677917068466,0.7350253807106599,0.7874304330120809,0.015436760608684775
10,medgemma_r128,0.8894457696797442,0.77442218798151,0.8077788492446158,0.7907488986784141,0.8194651825709244,0.05238456854376551
10,medgemma_r128_cal,0.8887790987836033,0.7992651970607882,0.7692060430729669,0.7839475839475839,0.8209583276774807,0.014765053090878366
10,medgemma_r64,0.8702304368684489,0.779782164737917,0.7364191578270652,0.7574805753017028,0.8008687389710872,0.04187884259550041
10,medgemma_r64_cal,0.8694082950263798,0.7617374640689876,0.7666345226615237,0.7641781480294777,0.8001900366499254,0.017542171154237465
10,mediphi_4b_paper,0.8653390120068736,0.7706576728499157,0.7344905175184828,0.7521395655036208,0.7955748608660241,0.04779706307012144
10,mediphi_4b_paper_cal,0.8648927646986317,0.7715736040609137,0.7328833172613307,0.751730959446093,0.7955748608660241,0.016779752404779025
10,modernbert,0.8876098757017906,0.7751987281399046,0.7836708453873352,0.7794117647058824,0.812678159359305,0.046085537046138034
10,modernbert_cal,0.8871573974714995,0.7735730053610849,0.7884924461587914,0.7809614772365489,0.8132211212162346,0.02018398990934311
10,phi4_14b_paper,0.8750249614513622,0.7765741367637102,0.7373834779813565,0.7564715581203627,0.7995113343287634,0.03323296841592316
10,phi4_14b_paper_cal,0.8743617647663033,0.7871514295799505,0.7168113146898103,0.7503364737550471,0.7985611510791367,0.018579740992389057
10,pubmedbert,0.8819503480857399,0.7553159628631326,0.8106718097074895,0.782015503875969,0.8091489072892629,0.04142770038843512
10,pubmedbert_cal,0.8809964505646953,0.8050247699929228,0.7312761170041787,0.7663803267643591,0.8117279761096783,0.01225775989666767
10,qwen4b_paper,0.8738971645603886,0.7753938987596379,0.7434908389585342,0.7591073186741056,0.8007329985068549,0.04736153294686158
10,qwen4b_paper_cal,0.8735152656834951,0.7753938987596379,0.7434908389585342,0.7591073186741056,0.8007329985068549,0.017886562119742093
10,qwen4b_r128,0.8722904552243675,0.763395739186572,0.7602057216329154,0.7617973908842004,0.7992398534002987,0.04244216484683123
10,qwen4b_r128_cal,0.8719803441221182,0.7609459891339087,0.765348762455802,0.7631410256410256,0.799375593864531,0.019446079948900106
10,qwen4b_r64,0.8802901661095844,0.8316563467492261,0.6907746705239473,0.7546971027216857,0.8103705714673545,0.060567527732654156
10,qwen4b_r64_cal,0.8800533910717004,0.7911941294196131,0.7624558019929283,0.776559174987723,0.8147142663227909,0.013982339453996384
10,qwen9b_paper,0.8637678378081172,0.7868362004487659,0.676309868209579,0.7273984442523769,0.7859372879055246,0.05270140142914342
10,qwen9b_paper_cal,0.8628211152882205,0.7777777777777778,0.7020250723240116,0.7379624936644703,0.7894665399755667,0.017022693908206522
10,qwen9b_r128,0.8718763443686361,0.7451157198677487,0.796849887495982,0.7701149425287356,0.7991041129360662,0.05688355117576492
10,qwen9b_r128_cal,0.8711793118886899,0.8008752735229759,0.7058823529411765,0.7503844182470528,0.8016831817564816,0.016081091026985555
10,qwen9b_r64,0.8676765896177281,0.7984322508398656,0.6875602700096431,0.738860103626943,0.7947604180806298,0.04354133787773022
10,qwen9b_r64_cal,0.8669558796339933,0.7505456813221079,0.7737062037929926,0.7619499841722064,0.795846341794489,0.018871832689783048
10,xgb,0.893212116598149,0.8013289036544851,0.7753134040501446,0.7881065185427217,0.8239446178905931,0.017298281354123583
10,xgb_cal,0.8922234769662828,0.7779507941451261,0.8029572484731597,0.7902562480227776,0.820008144427854,0.016268164973496663
21,albert,0.859209384007067,0.7457078069322968,0.7557452396585687,0.7506929724441546,0.794682422451994,0.019749036991981717
21,albert_cal,0.8591104689840235,0.7583617747440273,0.7294812869336835,0.7436412315930389,0.7942795756680543,0.015223210556167585
21,biobert,0.888032072935134,0.7651324085750315,0.7967826657912016,0.7806368607269218,0.8168389955686853,0.040366866628471144
21,biobert_cal,0.8873482090786089,0.8132440476190477,0.7176625082074852,0.7624694802929892,0.8171075600913119,0.01253947581402289
21,biomistral_paper,0.871478912376358,0.7604475156301415,0.7586999343401182,0.7595727198027937,0.8035450516986706,0.0272280004034034
21,biomistral_paper_cal,0.8715405664235267,0.7915898192548875,0.7045305318450427,0.7455271842973771,0.803276487176044,0.00658913584651629
21,biomistral_r128,0.8336311600524146,0.693775689958896,0.7757715036112935,0.7324860508369497,0.7682288169732778,0.11586090454571428
21,biomistral_r128_cal,0.8327470790602566,0.7022593624264933,0.7449113591595535,0.722956826509479,0.7664831475762052,0.016907266683086522
21,biomistral_r64,0.8184983923697876,0.718827269516072,0.6680892974392646,0.6925302024842607,0.7573519538069021,0.0631894150648053
21,biomistral_r64_cal,0.8187779802328099,0.7163611207194742,0.6799080761654629,0.697658750210544,0.7589633409426615,0.0174963055519585
21,gemma3_12b_paper,0.8722228264542634,0.7560895325872284,0.7541037426132633,0.755095332018409,0.799919430643212,0.021604849835371066
21,gemma3_12b_paper_cal,0.8715031935528293,0.7641831852358169,0.7340774786605384,0.7488278633623576,0.7985766080300792,0.011565166393145785
21,gemma3_paper,0.8866268231582894,0.7833553500660502,0.7787261982928431,0.7810339150477444,0.821404592453337,0.06187668150363082
21,gemma3_paper_cal,0.8863633854479739,0.7898673920435226,0.762639527248851,0.7760146985134458,0.8199274875788908,0.027475911770595097
21,gemma3_r128,0.8827086394589185,0.7893059490084986,0.731779382797111,0.7594548551959114,0.8103934470256479,0.025203834405482288
21,gemma3_r128_cal,0.8820135115236004,0.7806691449814126,0.7583716349310571,0.7693588676103247,0.8140190680811065,0.010595609234919527
21,gemma3_r64,0.8752646872024996,0.7576447625243982,0.7646093237032173,0.7611111111111111,0.8036793339599839,0.013170804153361793
