model,auc,precision,recall,f1,accuracy,ece
albert,0.979503872804955,0.9285354806240563,0.912011863568957,0.9201995012468828,0.9415738542997991,0.02516303895178482
albert_cal,0.9793513133990952,0.9202575532441802,0.9184379634206624,0.9193468579910935,0.9404783640679204,0.006312478108865303
biobert,0.9858244977203389,0.949169602415702,0.9322787938704894,0.9406483790523691,0.9565455541354756,0.02663439906797018
biobert_cal,0.9856327966657897,0.9559651817716334,0.9228868017795353,0.9391348088531187,0.9558152273142231,0.007123986346303979
biomistral_paper,0.9803317150968839,0.9328585961342828,0.9065743944636678,0.9195287039358235,0.9413912725944861,0.013366201017284389
biomistral_paper_cal,0.9794887027327024,0.9433962264150944,0.8897676717745922,0.9157975069956754,0.9395654555413547,0.005285341540333351
biomistral_r128,0.9824091563121381,0.9363408521303258,0.9233811171527434,0.9298158287705326,0.948511959101698,0.02549717356450212
biomistral_r128_cal,0.9816722628967797,0.9664864864864865,0.8838358872960949,0.9233152594887684,0.945773233522001,0.006643450666772849
biomistral_r64,0.9667672375670523,0.9574839836924869,0.8126544735541276,0.879144385026738,0.9174730691984663,0.03369937831419034
biomistral_r64_cal,0.966514426881826,0.9151738672286618,0.8586258032624815,0.8859984697781178,0.9183859777250319,0.01425369421657923
gemma3_12b_paper,0.9836375743798659,0.9632159747766684,0.9060800790904597,0.9337748344370861,0.9525287566185868,0.02845710004795685
gemma3_12b_paper_cal,0.9836065186659152,0.9570170895908856,0.9134948096885813,0.9347496206373292,0.952893920029213,0.007584832810752686
gemma3_paper,0.9828312707282578,0.9467485919098823,0.9139891250617894,0.9300804828973843,0.9492422859229506,0.025709935110630563
gemma3_paper_cal,0.9823199963591828,0.944954128440367,0.9164607019278299,0.9304893350062735,0.9494248676282636,0.00903852283245341
gemma3_r128,0.9846820195430601,0.9459041731066461,0.907563025210084,0.9263370332996973,0.9466861420485667,0.01725063573440955
gemma3_r128_cal,0.9845817682636938,0.9509394572025052,0.9006426099851705,0.9251078954049251,0.9461383969326274,0.008352916952486437
gemma3_r64,0.9833811858474102,0.9406139909411173,0.9238754325259516,0.9321695760598504,0.9503377761548293,0.01407567884809535
gemma3_r64_cal,0.9826862963585243,0.9536560247167868,0.9154720711814137,0.9341740226986128,0.9523461749132737,0.0043345917949850175
gemma4_12b_paper,0.9844988337649171,0.9523809523809523,0.9194265941670786,0.9356136820925554,0.9532590834398393,0.020493212203090846
gemma4_12b_paper_cal,0.984248885357474,0.9720580333154218,0.8942165101334651,0.931513903192585,0.951433266386708,0.00703236594010087
gemma4_31b_paper,0.9864260053965386,0.9558748075936377,0.9209095402867029,0.9380664652567976,0.9550849004929706,0.0183206888484897
gemma4_31b_paper_cal,0.9858241399356159,0.9449724862431216,0.9337617399901137,0.9393336648433616,0.9554500639035969,0.005956100966592521
med_llama_paper,0.9778931975392426,0.9547872340425532,0.8872960949085517,0.9198052779912887,0.9428519262369911,0.01606965289230619
med_llama_paper_cal,0.9774097588216116,0.9492412349555207,0.8966880869995056,0.922216573462125,0.944129998174183,0.009011309729374474
med_llama_r128,0.9849774781672606,0.9622245540398741,0.9065743944636678,0.9335708831763807,0.9523461749132737,0.023912858812054467
med_llama_r128_cal,0.9846240584179446,0.9608150470219435,0.9090459713297083,0.9342138684277369,0.9527113383239,0.007910538372663775
med_llama_r64,0.9848565469309083,0.9580492920818039,0.903114186851211,0.9297709923664123,0.9496074493335768,0.025027811787983266
med_llama_r64_cal,0.9845267409733061,0.9575916230366492,0.9041028175976273,0.9300788202390033,0.9497900310388899,0.010937349263597509
medgemma_paper,0.9851378372800805,0.9511819116135662,0.9149777558082056,0.9327286470143613,0.951250684681395,0.02502965049529659
medgemma_paper_cal,0.9844587618759483,0.9615587151132174,0.9026198714780029,0.9311575726670066,0.9507029395654556,0.008593409000942498
medgemma_r128,0.9856589149505642,0.9276869737493809,0.925852694018784,0.9267689262741218,0.9459558152273142,0.015510652720015476
medgemma_r128_cal,0.9849868521270017,0.9568874868559412,0.8996539792387543,0.9273885350318471,0.9479642139857586,0.009528202887481785
medgemma_r64,0.9811450313290615,0.9189723320158103,0.9194265941670786,0.9191994069681245,0.9402957823626072,0.017706573270935864
medgemma_r64_cal,0.9811808813582996,0.94750656167979,0.8922392486406328,0.9190427698574338,0.9419390177104254,0.007203413468344003
mediphi_4b_paper,0.9786929179519486,0.9022848808945065,0.9174493326742462,0.9098039215686274,0.9328099324447691,0.02273354909938257
mediphi_4b_paper_cal,0.9783515913262679,0.9514407684098186,0.8813643104300544,0.9150628688734924,0.9395654555413547,0.0074304674111591515
modernbert,0.9861287578487233,0.9550332141032192,0.9238754325259516,0.9391959798994974,0.9558152273142231,0.020851093402790857
modernbert_cal,0.9856123313796379,0.9625,0.9134948096885813,0.9373573421252853,0.9549023187876575,0.006504647473416299
phi4_14b_paper,0.979176786011247,0.9284274193548387,0.9105289174493326,0.9193910656351385,0.9410261091838598,0.018174630005936273
phi4_14b_paper_cal,0.9786891254338854,0.9284634760705289,0.9110232328225408,0.9196606786427146,0.9412086908891729,0.008793135722741218
pubmedbert,0.9843668827590983,0.9534402483186757,0.9110232328225408,0.9317492416582407,0.9507029395654556,0.02661572966231619
pubmedbert_cal,0.9839106356804106,0.9403739262253663,0.9199209095402867,0.9300349825087456,0.9488771225123243,0.010890103542592402
qwen4b_paper,0.9835036197795989,0.929172857850421,0.9273356401384083,0.9282533399307273,0.947051305459193,0.027251566646577813
qwen4b_paper_cal,0.983130593427466,0.9571428571428572,0.8942165101334651,0.9246102734474827,0.9461383969326274,0.008535153973835787
qwen4b_r128,0.9867863661694795,0.9358528095474888,0.9303015323776569,0.933068914229053,0.9507029395654556,0.022604416553874955
qwen4b_r128_cal,0.986382069432562,0.9457678661936137,0.9223924864063272,0.933933933933934,0.9517984297973343,0.007997011589793762
qwen4b_r64,0.9815755894646424,0.9725576289791438,0.8759268413247652,0.9217165149544864,0.9450429067007485,0.0314152061237293
qwen4b_r64_cal,0.980954832970349,0.9583552978386927,0.8986653484923381,0.9275510204081633,0.9481467956910717,0.006846311893035322
qwen9b_paper,0.9838893117109238,0.9407294832826748,0.9179436480474543,0.929196897673255,0.9483293773963849,0.02484310477221847
qwen9b_paper_cal,0.9837512068078704,0.9644562334217507,0.8986653484923381,0.9303991811668373,0.9503377761548293,0.008282944895543562
qwen9b_r128,0.9839611548832892,0.9415055951169888,0.9149777558082056,0.9280521433943344,0.9475990505751324,0.014353190150755032
qwen9b_r128_cal,0.9835248721921411,0.9451563300871348,0.9115175481957489,0.9280322093608455,0.9477816322804455,0.004746428429742182
qwen9b_r64,0.9854998438627469,0.9424424424424425,0.9307958477508651,0.9365829395672718,0.9534416651451525,0.021443272102740187
qwen9b_r64_cal,0.9847379055167829,0.9609171443460135,0.9115175481957489,0.9355657026889903,0.9536242468504655,0.004686419934956966
xgb,0.979090130551352,0.9616630669546437,0.8803756796836382,0.9192258064516129,0.9428519262369911,0.025466969868058555
xgb_cal,0.9784491234417401,0.9752391671356219,0.856648541769649,0.9121052631578948,0.9390177104254154,0.006818908431316551
