model,auc,precision,recall,f1,accuracy,ece
albert,0.804330237941029,0.6900391212759555,0.7623005319148937,0.7243721371031433,0.7607950651130911,0.04369521901940849
albert_cal,0.8070557279181493,0.7003768844221105,0.7413563829787234,0.7202842377260982,0.7625771076079506,0.009659184821027506
biobert,0.8801081805334288,0.7647442163571195,0.7802526595744681,0.7724206022708573,0.8104180945853324,0.04331883884279488
biobert_cal,0.8797386271707142,0.7797012898845893,0.7636303191489362,0.7715821296607323,0.8135709389993147,0.01282786130656934
biomistral_paper,0.8711387470283738,0.7985529322162985,0.6971409574468085,0.744408945686901,0.8026045236463331,0.04739184448731037
biomistral_paper_cal,0.8708670588096621,0.7507936507936508,0.7862367021276596,0.7681065280935369,0.8042494859492804,0.011075444749678637
biomistral_r128,0.8119663557936165,0.70828025477707,0.7393617021276596,0.7234873129473,0.7669636737491432,0.02855138341558515
biomistral_r128_cal,0.8120786060281205,0.7140071498212545,0.7303856382978723,0.7221035332785538,0.7681973954763537,0.013078321066677062
biomistral_r64,0.7987983757798194,0.6794446121340175,0.7483377659574468,0.7122290776775827,0.7506511309115833,0.0795657714500746
biomistral_r64_cal,0.7993619533820705,0.6794446121340175,0.7483377659574468,0.7122290776775827,0.7506511309115833,0.010043131966797776
gemma3_12b_paper,0.8862895431016087,0.815648854961832,0.710438829787234,0.7594171997157072,0.8143934201507882,0.05142864003472961
gemma3_12b_paper_cal,0.885304028693874,0.80306905370844,0.730718085106383,0.7651871192341166,0.8150788211103496,0.01572026186803409
gemma3_paper,0.8756643507834175,0.7892964071856288,0.7011303191489362,0.7426056338028169,0.7995887594242632,0.039077092057222124
gemma3_paper_cal,0.8751141889259463,0.7756029360363509,0.7376994680851063,0.7561765207019935,0.8038382453735435,0.014773869622488844
gemma3_r128,0.8934696419531587,0.7932979429329794,0.7948803191489362,0.7940883427432747,0.8300205620287868,0.03520601978306851
gemma3_r128_cal,0.8933941493083989,0.796916890080429,0.7905585106382979,0.7937249666221629,0.8305688827964359,0.012573625010378234
gemma3_r64,0.8830861656839828,0.8259303721488596,0.6861702127659575,0.7495914290902488,0.8109664153529815,0.05599691623643732
gemma3_r64_cal,0.8826884625215272,0.7865707434052758,0.7632978723404256,0.7747595748270626,0.8169979437971213,0.011841169385068613
gemma4_12b_paper,0.8775442611011022,0.820215410107705,0.6582446808510638,0.7303578015492438,0.7995887594242632,0.061558148089903335
gemma4_12b_paper_cal,0.87736283835594,0.7915605674790833,0.723404255319149,0.7559492791384401,0.8074023303632625,0.009161464892160753
gemma4_31b_paper,0.8799516118125554,0.7424565681194758,0.8098404255319149,0.774685959612021,0.8057573680603153,0.04947554138252817
gemma4_31b_paper_cal,0.879817803329214,0.7796847635726795,0.7400265957446809,0.7593382227528569,0.8065798492117889,0.019272736988352544
med_llama_paper,0.8672100663683874,0.7824314306893996,0.7017952127659575,0.7399228881878724,0.7965729952021933,0.020249272757602594
med_llama_paper_cal,0.866648272362263,0.7552188552188552,0.7456781914893617,0.750418200066912,0.7954763536668952,0.009489566964075206
med_llama_r128,0.8860435619314206,0.7931648273406906,0.7406914893617021,0.7660305999656181,0.8134338588074024,0.024934740657919643
med_llama_r128_cal,0.8851430397565129,0.7683284457478006,0.7839095744680851,0.776040809610005,0.8134338588074024,0.01960689780860713
med_llama_r64,0.8386498844229711,0.7153307888040712,0.7476728723404256,0.7311443433029909,0.7732693625771077,0.03145133677051024
med_llama_r64_cal,0.8379827419238767,0.7155555555555555,0.7493351063829787,0.7320558622929523,0.7738176833447566,0.014947830707912817
medgemma_paper,0.8824696230315302,0.768172888015717,0.7799202127659575,0.7740019795447047,0.8122001370801919,0.050418776112570354
medgemma_paper_cal,0.8819859582905272,0.7707027383701749,0.776595744680851,0.7736380195396589,0.8126113776559287,0.011157462310338926
medgemma_r128,0.8957275971020751,0.8312788906009245,0.7174202127659575,0.7701641684511064,0.8234407128169979,0.051705084048411974
medgemma_r128_cal,0.8957533429244277,0.8118393234672304,0.7659574468085106,0.7882312692439275,0.8302947224126114,0.013515805294799494
medgemma_r64,0.8885605650308454,0.8205128205128205,0.6914893617021277,0.7504961212339888,0.8104180945853324,0.04763828691536242
medgemma_r64_cal,0.8883093881675924,0.7683941138835573,0.7985372340425532,0.7831757417671992,0.8176833447566827,0.011258325978963838
mediphi_4b_paper,0.8731480456129118,0.7476099426386233,0.7799202127659575,0.7634233647901074,0.8006854009595613,0.027612615939684986
mediphi_4b_paper_cal,0.8723592696127334,0.758198078834051,0.760970744680851,0.759581881533101,0.8013708019191227,0.012321807698736035
modernbert,0.8980276994029449,0.8017035775127769,0.7822473404255319,0.7918559650008413,0.8304318026045237,0.034151802033864594
modernbert_cal,0.897224073026319,0.8139452152258982,0.7606382978723404,0.7863894139886578,0.82960932145305,0.008959805707355007
phi4_14b_paper,0.8756242586443925,0.7852202402621041,0.7170877659574468,0.749609035621199,0.8024674434544208,0.0391614204796617
phi4_14b_paper_cal,0.8752901057874127,0.7534643893006767,0.7772606382978723,0.7651775486827033,0.8032899246058944,0.014376049230098402
pubmedbert,0.8882815485584821,0.8145985401459854,0.7420212765957447,0.7766179540709812,0.823989033584647,0.05920457373883237
pubmedbert_cal,0.8880420813915401,0.7818651177799291,0.8055186170212766,0.793515637792697,0.8271418779986291,0.010205405089295842
qwen4b_paper,0.8741997469464834,0.7558561530847905,0.7616356382978723,0.7587348898824309,0.8002741603838245,0.03347316356142762
qwen4b_paper_cal,0.8732489351155647,0.7479045776918117,0.7712765957446809,0.7594108019639935,0.798492117888965,0.00731642968250117
qwen4b_r128,0.8944430201524649,0.7769206043072967,0.8035239361702128,0.7899983657460369,0.8238519533927348,0.05323333502791235
qwen4b_r128_cal,0.8942127423829588,0.7908783783783784,0.7782579787234043,0.7845174262734584,0.8237148732008225,0.013007314352928446
qwen4b_r64,0.8866717367325263,0.764299182903834,0.8085106382978723,0.78578352180937,0.8182316655243317,0.05486707700467408
qwen4b_r64_cal,0.8863467732729825,0.7855462184873949,0.7769281914893617,0.7812134380745446,0.8205620287868403,0.012890134468119431
qwen9b_paper,0.8669035980252023,0.7776957163958641,0.7001329787234043,0.7368789363191043,0.7938313913639479,0.03676291508807572
