model,auc,precision,recall,f1,accuracy,ece
albert,0.859209384007067,0.7457078069322968,0.7557452396585687,0.7506929724441546,0.794682422451994,0.019749036991981717
albert_cal,0.8591104689840235,0.7583617747440273,0.7294812869336835,0.7436412315930389,0.7942795756680543,0.015223210556167585
biobert,0.888032072935134,0.7651324085750315,0.7967826657912016,0.7806368607269218,0.8168389955686853,0.040366866628471144
biobert_cal,0.8873482090786089,0.8132440476190477,0.7176625082074852,0.7624694802929892,0.8171075600913119,0.01253947581402289
biomistral_paper,0.871478912376358,0.7604475156301415,0.7586999343401182,0.7595727198027937,0.8035450516986706,0.0272280004034034
biomistral_paper_cal,0.8715405664235267,0.7915898192548875,0.7045305318450427,0.7455271842973771,0.803276487176044,0.00658913584651629
biomistral_r128,0.8336311600524146,0.693775689958896,0.7757715036112935,0.7324860508369497,0.7682288169732778,0.11586090454571428
biomistral_r128_cal,0.8327470790602566,0.7022593624264933,0.7449113591595535,0.722956826509479,0.7664831475762052,0.016907266683086522
biomistral_r64,0.8184983923697876,0.718827269516072,0.6680892974392646,0.6925302024842607,0.7573519538069021,0.0631894150648053
biomistral_r64_cal,0.8187779802328099,0.7163611207194742,0.6799080761654629,0.697658750210544,0.7589633409426615,0.0174963055519585
gemma3_12b_paper,0.8722228264542634,0.7560895325872284,0.7541037426132633,0.755095332018409,0.799919430643212,0.021604849835371066
gemma3_12b_paper_cal,0.8715031935528293,0.7641831852358169,0.7340774786605384,0.7488278633623576,0.7985766080300792,0.011565166393145785
gemma3_paper,0.8866268231582894,0.7833553500660502,0.7787261982928431,0.7810339150477444,0.821404592453337,0.06187668150363082
gemma3_paper_cal,0.8863633854479739,0.7898673920435226,0.762639527248851,0.7760146985134458,0.8199274875788908,0.027475911770595097
gemma3_r128,0.8827086394589185,0.7893059490084986,0.731779382797111,0.7594548551959114,0.8103934470256479,0.025203834405482288
gemma3_r128_cal,0.8820135115236004,0.7806691449814126,0.7583716349310571,0.7693588676103247,0.8140190680811065,0.010595609234919527
gemma3_r64,0.8752646872024996,0.7576447625243982,0.7646093237032173,0.7611111111111111,0.8036793339599839,0.013170804153361793
gemma3_r64_cal,0.8749878594117645,0.7739279588336192,0.7406434668417596,0.7569199798691495,0.8054250033570566,0.011406120791609794
gemma4_12b_paper,0.8817379518741861,0.7694533762057878,0.7856204858831254,0.7774528914879792,0.8160333020008057,0.06095654056856796
gemma4_12b_paper_cal,0.8814770877447866,0.765802781289507,0.7954694681549573,0.780354267310789,0.8168389955686853,0.01697074511727946
gemma4_31b_paper,0.8974843507631152,0.7738582677165354,0.8066316480630334,0.7899051599421315,0.8244930844635424,0.0593907859262314
gemma4_31b_paper_cal,0.8971119647940098,0.7647238327738786,0.8227183191070256,0.7926617112130317,0.8239559554182893,0.012553432383892074
med_llama_paper,0.8737997974852907,0.748656338918748,0.7774130006565988,0.7627637300692544,0.8022022290855378,0.0452779083695289
med_llama_paper_cal,0.8732066803297704,0.7673149095871716,0.7383453709783322,0.7525514472143215,0.8013965355176581,0.014870347596726462
med_llama_r128,0.888625637669944,0.8013673983447284,0.7311227839789889,0.7646351931330472,0.8158990197394924,0.05255888633891272
med_llama_r128_cal,0.8881243115671048,0.7740039190071848,0.778069599474721,0.7760314341846758,0.8163018665234323,0.015678157871776576
med_llama_r64,0.8252648960728349,0.7042071197411003,0.7143795141168746,0.7092568448500652,0.7604404458171076,0.02100030936768988
med_llama_r64_cal,0.8245905059779437,0.6868295589988082,0.7567301378857518,0.7200874726647922,0.7593661877266014,0.014356504475562413
medgemma_paper,0.8757108864561463,0.7719417146729922,0.747866053841103,0.7597131899282975,0.8064992614475628,0.03480231338155161
medgemma_paper_cal,0.8751040435357392,0.7776247848537006,0.7416283650689429,0.7592001344311881,0.807573519538069,0.011790761750407091
medgemma_r128,0.885732597035563,0.7522935779816514,0.8076165462902167,0.77897403419886,0.8125419632066604,0.035933379170945766
medgemma_r128_cal,0.8850316505694775,0.7608078258125591,0.7915298752462245,0.7758648431214803,0.8129448099906003,0.011822756766227085
medgemma_r64,0.8800048502675704,0.7704216073781291,0.7678923177938279,0.7691548832620848,0.8114677051161542,0.025938137231799257
medgemma_r64_cal,0.8799604280230587,0.7622107969151671,0.7787261982928431,0.7703799935043846,0.8101248825030214,0.01397866689591481
mediphi_4b_paper,0.875891820384044,0.7516843118383061,0.7692055154300722,0.7603439883173779,0.8016651000402847,0.029357023532218626
mediphi_4b_paper_cal,0.8752852385515558,0.759514435695538,0.7600131319763624,0.7597637020019692,0.8034107694373573,0.018707827954863608
modernbert,0.8933504338460653,0.7781329923273658,0.799080761654629,0.7884677680596048,0.8246273667248556,0.01923887755574047
modernbert_cal,0.8931879625638716,0.7982396750169262,0.7741300065659882,0.786,0.8275815764737479,0.01868022403537374
phi4_14b_paper,0.8749907313788741,0.7605357726233257,0.7642810242941562,0.762403798919273,0.80515643883443,0.02344544458672437
phi4_14b_paper_cal,0.8746290873127236,0.7714090754008871,0.742284963887065,0.7565668395516145,0.8046193097891768,0.015632720635785028
pubmedbert,0.8843517030317379,0.7482558139534884,0.845042678923178,0.793709528214616,0.8203303343628306,0.039654872741495296
pubmedbert_cal,0.8840513027317406,0.7758074730842305,0.804333552199606,0.7898130238555771,0.8248959312474822,0.016295349717055742
qwen4b_paper,0.8740928500252807,0.7616260162601626,0.7688772160210111,0.7652344388171868,0.807036390492816,0.028086219597995607
qwen4b_paper_cal,0.873552099646666,0.7863033345285049,0.7199606040709127,0.7516709511568124,0.8054250033570566,0.010073262432799506
qwen4b_r128,0.8926751485925944,0.7675793403858121,0.8099146421536442,0.7881789137380192,0.82194172149859,0.05256940679523689
qwen4b_r128_cal,0.8923965677829742,0.7830618892508143,0.7892317793827971,0.7861347285807717,0.8243588022022291,0.012318602420634902
qwen4b_r64,0.8908501440384752,0.7866315442871255,0.7843072882468811,0.7854676968601019,0.8247616489861689,0.04827922954756269
qwen4b_r64_cal,0.8903390084895347,0.7853403141361257,0.7879185817465528,0.7866273352999017,0.8251644957701088,0.013472571640184217
qwen9b_paper,0.8815421359349028,0.7811424638678596,0.7452396585686146,0.7627688172043011,0.8103934470256479,0.046401316263129946
qwen9b_paper_cal,0.8809976557288732,0.7735215053763441,0.7557452396585687,0.764530056459648,0.8095877534577682,0.013644735838382863
qwen9b_r128,0.8896075893334694,0.7708006279434851,0.8059750492449114,0.7879955063392714,0.8226131328051565,0.04334076082576665
qwen9b_r128_cal,0.8895604443149449,0.7763794772507261,0.7898883782009193,0.7830756712774614,0.8210017456693971,0.013270652454738126
qwen9b_r64,0.884976784808204,0.7598101265822785,0.7882468811556139,0.7737673219465034,0.8114677051161542,0.030454889758945936
qwen9b_r64_cal,0.884351703031738,0.7934970598408855,0.7531188443860801,0.7727808657571164,0.8188532294883846,0.01137442268297306
xgb,0.8940498137846364,0.795530353569046,0.7829940906106369,0.7892124420913302,0.8289243990868806,0.013394776293454097
xgb_cal,0.8936199884733413,0.8019125683060109,0.7708470124753776,0.7860729829260127,0.8283872700416275,0.014742304151017481
