,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,gemma4_31b_paper,gemma4_31b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
gemma3_12b_paper,0.18416301972999838,0.1502563235196932,0.7810132345635564,0.46943675106887617,0.8354608611955636,0.19270449080006213,0.33088861361207833,0.019967411276258895,0.003485795626396504,0.0067052936150028275,1.0,0.5517159637624063,0.45398953600238245,0.3630854252705171,0.6403839926452577,0.5270233049817103,0.7223086617438097,0.588198902765114,0.9221042191540244,0.2729690498602637,0.7972819858414079,0.4489013295659814,0.7453995763334803,0.3695376217810984,0.2042689183280224,0.16273693558348679,0.2537063721146209,0.1536712921366543,0.2670985304809854,0.2362358702933871,0.7134017695997594,0.38931788754550567,0.6590995860108032,0.21335418879568346,0.22700048770023107,0.08564878254763608,0.7318568311538678,0.6985891062239749,0.5185302391715234,0.38297397589535587,0.6855536447075548,0.5953605117350198,0.2943286739576312,0.12303284545492321,0.7340740023508878,0.3892804490173015,0.1711152770238794,0.304707145035367,0.3211690297790277,0.05443782132207842,0.7365504076932263,0.5683422977770305,0.4535459252066547,0.42947596837925683,0.2886467486612976,0.1995115853368581
gemma3_12b_paper_cal,0.07276482808988527,0.05388360674551873,0.9508937769500578,0.38704406506259015,0.7787803918344678,0.027384120438947335,0.22341479744343407,0.03649642690762944,0.0008643885232040294,0.005215009202683918,0.4482840362375937,1.0,0.36430367560411736,0.11604178657484687,0.6862154943461274,0.4730110838015915,0.8202944029259138,0.5720476962719278,0.7893612300700152,0.11213058539330456,0.830177599468964,0.3749505936052562,0.6650011480404754,0.17994340973396628,0.004869315224080184,0.050005361376833535,0.18283414970454825,0.0498643671143808,0.06877012239817759,0.11666545945970119,0.9051266114718755,0.1572240897912729,0.6531104752126622,0.05747060002834592,0.1079062463110031,0.04477136484065092,0.8002677380510679,0.9208041455745294,0.46907423582442687,0.2641691931450134,0.7498539732811431,0.5347610461907657,0.19922660470653442,0.026245784850619125,0.7599848463552061,0.11833567165849956,0.1874085887509397,0.2888433637829906,0.19396928658340395,0.009300106098652394,0.8398146689155204,0.5475086629650816,0.4154255761939172,0.31780347128310515,0.1173032532082513,0.12474716212029802
gemma3_paper,0.01748148569899166,0.06936047362999642,0.957474535450596,0.5134274589267662,0.7755352728263131,0.06692368828388351,0.11233281210063728,0.027591127073015143,0.0015542853214671748,0.0006810277000748322,0.5460104639976175,0.6356963243958826,1.0,0.29649464078571497,0.8814448880622078,0.7042751877683944,0.9792670639311776,0.7511401496203756,0.7800282355003149,0.08051512882030987,0.8986710534851036,0.4614739710985808,0.725546597444833,0.38789343493785844,0.23523027156573184,0.08273153479675566,0.28358510424230177,0.06488741874611104,0.23564255103455467,0.008378835258567419,0.8803665177950921,0.39499392144745005,0.670082650344985,0.2796460568874475,0.26778177795839664,0.08743508111827525,0.9898840466196573,0.8527249791318969,0.7546285089397139,0.2800695804629766,0.8435525013319668,0.7009685099330238,0.24853622362143968,0.047439036082569275,0.7623963306603228,0.42461451586078347,0.20506509564050934,0.31850884942891744,0.06784187864587854,0.00797576200344452,0.957630733909711,0.8794341531876331,0.5131189172725763,0.47555300791681354,0.2680646494964114,0.2298089277639933
gemma3_paper_cal,0.05535053501241116,0.052626392956638623,0.9974315479500352,0.6582541258948618,0.872950452916832,0.1032644944330714,0.3616055279236723,0.07102238933895644,0.0018435918294860132,0.003625454896472924,0.6369145747294829,0.8839582134251531,0.703505359214285,1.0,0.8952063380563187,0.8053377762477134,0.9842113832193935,0.8437805740899997,0.8735346902596661,0.28588399601154535,0.9226324902556274,0.6442466741561304,0.7885063819244673,0.5548618816485306,0.20663377642097713,0.06835622376356032,0.4380072698379378,0.12638600985164816,0.286776857310552,0.2253690629189491,0.9965527033438019,0.5694771062533717,0.8440570125894242,0.3690311579662042,0.351005900996342,0.16086041355610092,0.9503620804300631,0.9768165957802193,0.7659057896535905,0.5360456204474953,0.9385891219386149,0.8426541228529301,0.36074286138311273,0.10005081626681256,0.8729155962374787,0.638578642977219,0.32821332137131276,0.46489550952725445,0.3261999585946749,0.012034952021835466,0.9625657926053806,0.9132223640627675,0.6194423832091265,0.6943169083022802,0.3704535571943395,0.28881276668696243
gemma3_r128,0.022368611755092305,0.050881846279521525,0.7139836964088806,0.24387888168208993,0.5100267221164467,0.018803583467741358,0.09144671303491658,0.03753481334641473,0.0004341993813127276,0.0022267644585329815,0.3596160073547423,0.3137845056538726,0.11855511193779222,0.10479366194368134,1.0,0.14424835227365806,0.5358237378875617,0.35274274890753377,0.5203058053505227,0.021331886087154084,0.6028089317116334,0.19861105953990132,0.47629358782907005,0.11139215680847792,0.11686613398669654,0.04756450366818976,0.1386610931649115,0.06396752402414785,0.13204420085769208,0.04308205057219239,0.5735453815723467,0.09436982771427616,0.39861056841494635,0.11778842642022647,0.16998079552751455,0.04736300123638093,0.7712443924866192,0.47040343095044623,0.20998320216663868,0.13330082700945156,0.41936915427727817,0.34536217460765894,0.1470213299916976,0.04350698820866561,0.5045759892160933,0.209898438820743,0.11187102345311517,0.18863278665165395,0.0722014651432834,0.02132863818481079,0.5830939885700217,0.23802980797929518,0.3018621852772789,0.16881700439886904,0.05777272442011183,0.08253589147510243
gemma3_r128_cal,0.05101922569966855,0.08210165761441424,0.9262570031176135,0.4055632958106844,0.7421515894574654,0.005632873752009049,0.1879581034062351,0.02552782512475249,0.0002337351299182,0.0021018978698150725,0.47297669501828965,0.5269889161984085,0.2957248122316056,0.1946622237522866,0.8557516477263419,1.0,0.89343584837614,0.6109930279062936,0.7243290447134791,0.0011996553877009486,0.8536089179596984,0.37398335407051464,0.700185408452541,0.19102596219131507,0.1496938546771892,0.07488592969119201,0.1871317816811846,0.053470274951666896,0.1675336736255475,0.03461871546959594,0.8344988585002429,0.203784498385158,0.5858512237196465,0.13189981536752626,0.2077807316575595,0.022958810143780428,0.9363303745448238,0.8483853161639654,0.4790863823361391,0.20116450025211108,0.7981662996171829,0.5540702548542586,0.2326245417776548,0.018812728328445494,0.693219988280781,0.3183033928143927,0.12823238406932047,0.24773126754182018,0.14098380427026302,0.01262785038960712,0.9660290333111593,0.6733207670884258,0.42814186349060623,0.31744493430581544,0.0655191443406119,0.1041386243290553
gemma3_r64,0.007652239156228369,0.017139544381019167,0.8279121250417933,0.1557338157360122,0.48224369196699324,0.005570060126579457,0.027339294741130504,0.006443288830942917,0.0007955380701606396,0.0007835761716036282,0.2776913382561903,0.17970559707408618,0.020732936068822427,0.0157886167806065,0.46417626211243834,0.10656415162386002,1.0,0.14175791226350165,0.502584894120748,0.0065242717888688295,0.6620080479074633,0.09812174306755161,0.4437351543879854,0.07229887579213523,0.04473787839751431,0.01524846955729342,0.0402077629025992,0.003518627174435962,0.02517512593166593,0.0010313309056815267,0.5508311494001333,0.08034336763458683,0.29364065495908986,0.046182884844799266,0.03384443390061498,0.011582738950463356,0.7330565679266088,0.38643846835537055,0.08196242309434265,0.01221777651799838,0.28894270404999434,0.13613617368566355,0.053886256590283454,0.00132124096465569,0.4745290927766377,0.0618820327430285,0.06871083312721893,0.08667247722270777,0.01308564367141829,0.00027814278686066896,0.6122556412085294,0.04879678373228857,0.190737936567956,0.05294851601789985,0.061700477993728686,0.08864678675861892
gemma3_r64_cal,0.06004580056223341,0.07672475349822028,0.9287018622626133,0.2778460668638659,0.6600934781689579,0.014770786440835515,0.15019605259468838,0.014760485675905377,0.0017801301191678887,0.002822306189444901,0.411801097234886,0.42795230372807225,0.24885985037962444,0.15621942591000026,0.6472572510924662,0.3890069720937064,0.8582420877364983,1.0,0.7175089934620497,0.06908276364986599,0.9863354868559429,0.30325025947899165,0.6165052341614401,0.24138714252069082,0.10916198396561971,0.0869260557067899,0.17411896463727194,0.00017654032962344246,0.03484876178141638,0.026268920588862987,0.7242253306932273,0.2465641073780085,0.5183550392605925,0.13674955345689588,0.0523260043217163,0.034747965836674166,0.8597014934095905,0.6966476758171325,0.33444910940674677,0.033076943156245875,0.6292426549271248,0.45445630012876514,0.19347015348021057,0.00029243514089549727,0.7380512025073553,0.2016525699118923,0.131752855264478,0.16193081157038514,0.08099140078153477,0.0003942108051711024,0.9334149768403608,0.46593614833813957,0.36487640918509756,0.29075330091705565,0.15009495065083533,0.14640195613001428
gemma4_12b_paper,0.06761065009245759,0.050953429366201064,0.6597407552914907,0.26480190618343924,0.46917224851789396,0.05039409441752607,0.14882510890183287,0.005349595417373787,0.001544511733165277,0.003146496969829382,0.07789578084597559,0.21063876992998476,0.21997176449968514,0.12646530974033388,0.47969419464947727,0.27567095528652086,0.497415105879252,0.28249100653795034,1.0,0.08726884698546689,0.6265859714691507,0.24855778906755566,0.42498069004424077,0.13180226952687235,0.04032155872989174,0.049372451334760314,0.05695531781915275,0.026254912287784316,0.0591357183698501,0.06721187436917997,0.5274528216420848,0.1618288846627287,0.1585565767303061,0.03447827841201234,0.02268661857537957,0.014562557694654865,0.603792140204971,0.43054507660821995,0.28363418948905217,0.14485730025305288,0.36481636031894915,0.1592230253060556,0.11170672313560215,0.015605517477168429,0.46324746033355946,0.10521873501223677,0.07079784241814191,0.11210211711987417,0.1349045383339692,0.007214140726035212,0.5356816312974564,0.2958062631627012,0.2162704192881294,0.1615099993236313,0.10587405862014598,0.08842018465446722
gemma4_12b_paper_cal,0.17492800735989156,0.2097321504610874,0.9851840492268822,0.7413506924713517,0.9363511636343427,0.14856844572185102,0.5494558385927417,0.06326097610823767,0.00044248090175957877,0.0024311333904079024,0.7270309501397363,0.8878694146066954,0.9194848711796901,0.7141160039884547,0.9786681139128459,0.998800344612299,0.9934757282111312,0.930917236350134,0.9127311530145331,1.0,0.9644868548545699,0.7419305141376247,0.9114045610157162,0.796795271969784,0.4246542949302967,0.242340822799342,0.6378088216867887,0.23599200954263444,0.49463184129455495,0.3426016158058427,0.970989246121713,0.7712582581178431,0.864981022122441,0.5560716040189788,0.5180674919528863,0.14525785672764502,0.9884245009787763,0.987037859566985,0.945416867796807,0.7515643585953713,0.9905177637258147,0.9091710281236429,0.5356909966957071,0.14398535022228764,0.8840166846685801,0.7089675348137761,0.38020221084727335,0.5977913539192038,0.5255385170807945,0.040205828755670914,0.9969871825983039,0.9986997944939795,0.7183721225508684,0.876201955593101,0.5403082904961918,0.3354809182900842
